ResourceCapacity.Hardware.CPU.CoreCount,ResourceCapacity.Hardware.CPU.ClockFrequency,ResourceCapacity.Hardware.CPU.Architecture,ResourceCapacity.Hardware.CPU.CacheSize,ResourceCapacity.Hardware.Memory.TotalCapacity,ResourceCapacity.Hardware.Memory.Type,ResourceCapacity.Hardware.Memory.Bandwidth,ResourceCapacity.Hardware.Storage.Capacity,ResourceCapacity.Hardware.Storage.Type,ResourceCapacity.Hardware.Storage.ReadWriteSpeed,ResourceCapacity.Hardware.Network.UpstreamBW,ResourceCapacity.Hardware.Network.DownstreamBW,ResourceCapacity.Hardware.Network.Latency,ResourceCapacity.OperationalStatus.Uptime24h,ResourceCapacity.OperationalStatus.CoreEligibility,ResourceCapacity.OperationalStatus.ResourceUsage.CPUUtilization,ResourceCapacity.OperationalStatus.ResourceUsage.MemUtilization,OnChainBehavior.TransactionCapability.AvgTPS,OnChainBehavior.TransactionCapability.CrossShardTx.InterNodeVolume,OnChainBehavior.TransactionCapability.CrossShardTx.InterShardVolume,OnChainBehavior.TransactionCapability.ConfirmationDelay,OnChainBehavior.TransactionCapability.ResourcePerTx.CPUPerTx,OnChainBehavior.TransactionCapability.ResourcePerTx.MemPerTx,OnChainBehavior.TransactionCapability.ResourcePerTx.DiskPerTx,OnChainBehavior.TransactionCapability.ResourcePerTx.NetworkPerTx,OnChainBehavior.BlockGeneration.AvgInterval,OnChainBehavior.BlockGeneration.IntervalStdDev,OnChainBehavior.EconomicContribution.FeeContributionRatio,OnChainBehavior.SmartContractUsage.InvocationFrequency,OnChainBehavior.TransactionTypes.NormalTxRatio,OnChainBehavior.TransactionTypes.ContractTxRatio,OnChainBehavior.Consensus.ParticipationRate,OnChainBehavior.Consensus.TotalReward,OnChainBehavior.Consensus.SuccessRate,NetworkTopology.GeoLocation.Timezone,NetworkTopology.GeoLocation.DataCenter,NetworkTopology.GeoLocation.Region,NetworkTopology.Connections.IntraShardConn,NetworkTopology.Connections.InterShardConn,NetworkTopology.Connections.WeightedDegree,NetworkTopology.Connections.ActiveConn,NetworkTopology.Hierarchy.Depth,NetworkTopology.Hierarchy.ConnectionDensity,NetworkTopology.Centrality.IntraShard.Eigenvector,NetworkTopology.Centrality.IntraShard.Closeness,NetworkTopology.Centrality.InterShard.Betweenness,NetworkTopology.Centrality.InterShard.Influence,NetworkTopology.ShardAllocation.Priority,NetworkTopology.ShardAllocation.ShardPreference,NetworkTopology.ShardAllocation.Adaptability,DynamicAttributes.Compute.CPUUsage,DynamicAttributes.Compute.MemUsage,DynamicAttributes.Compute.ResourceFlux,DynamicAttributes.Storage.Available,DynamicAttributes.Storage.Utilization,DynamicAttributes.Network.LatencyFlux,DynamicAttributes.Network.AvgLatency,DynamicAttributes.Network.BandwidthUsage,DynamicAttributes.Transactions.Frequency,DynamicAttributes.Transactions.ProcessingDelay,DynamicAttributes.Transactions.StakeChangeRate,DynamicAttributes.Reputation.Uptime24h,DynamicAttributes.Reputation.ReputationScore,HeterogeneousType.NodeType,HeterogeneousType.FunctionTags,HeterogeneousType.SupportedFuncs.Functions,HeterogeneousType.SupportedFuncs.Priorities,HeterogeneousType.Application.CurrentState,HeterogeneousType.Application.LoadMetrics.TxFrequency,HeterogeneousType.Application.LoadMetrics.StorageOps
21,4.2,ARM,63,191,DDR4,113.6,14.8,NVMe,839,2788,16728,62ms,0.962,false,65.1,32.4,560.6,nodeA:276;nodeB:232;nodeC:236;nodeD:225,shard1:377;shard2:324,1576ms,0.2,0.12,0.036,0.09,26s,7.0s,0.16,4274,0.48,0.52,0.34,32.7,0.95,UTC-8,AWS,us-west-2,73,29,116.5,43,3,0.62,0.6,0.61,0.88,0.79,3,shard1:0.3;shard2:0.7,0.56,86.0,61.9,0.18,9.0,0.76,14.4,57ms,0.31,188,64ms,0.09,0.952,62.3,MinerNode,"mining,consensus","block_mining,pow_computation",block_mining:1;pow_computation:1,idle,1730,1087
5,3.5,x86,40,28,DDR5,17.9,0.6,SSD,567,344,1032,92ms,0.962,false,84.7,23.1,203.1,nodeA:26;nodeB:145,shard1:291;shard2:236,212ms,0.13,0.12,0.038,0.02,27s,2.3s,0.1,4166,0.78,0.22,0.41,39.4,0.94,UTC+1,Azure,europe-west,57,13,76.5,51,4,0.78,0.2,0.9,0.37,0.46,5,shard1:0.8;shard2:0.1;shard3:0.1,0.53,76.3,62.5,0.08,0.3,0.52,8.0,105ms,0.54,572,155ms,0.27,0.983,64.4,LightNode,validation,"data_verification,tx_relay",data_verification:1;tx_relay:2,idle,2184,55
4,2.7,x86,8,26,DDR5,12.6,1.3,NVMe,173,283,2547,43ms,0.989,false,88.7,81.8,67.2,nodeA:254;nodeB:63;nodeC:68;nodeD:278,shard1:376;shard2:251,1052ms,0.27,0.12,0.019,0.02,19s,1.0s,0.16,4718,0.71,0.29,0.54,12.9,0.87,UTC-3,AWS,sa-east-1,35,39,93.5,24,3,0.3,0.45,0.38,0.38,0.7,1,shard1:0.6;shard2:0.4,0.96,30.1,67.7,0.35,0.8,0.36,8.4,141ms,0.57,172,195ms,0.22,0.955,95.0,LightNode,validation,"data_verification,tx_relay",data_verification:1;tx_relay:2,idle,2228,895
9,4.3,ARM,45,121,DDR4,86.6,3.3,SSD,863,1056,9504,128ms,0.954,true,34.2,69.6,709.3,nodeA:210;nodeB:63;nodeC:152;nodeD:58;nodeE:31,shard1:151;shard2:380,418ms,0.08,0.08,0.019,0.02,16s,4.7s,0.16,2625,0.59,0.41,0.95,5.4,0.95,UTC+9,Alibaba Cloud,ap-northeast-1,15,18,42.0,12,3,0.36,0.31,0.48,0.51,0.61,3,shard1:0.7;shard2:0.1;shard3:0.2,0.89,41.3,86.9,0.35,1.8,0.63,2.3,72ms,0.82,336,174ms,0.01,0.991,97.3,FullNode,"consensus,validation,storage","tx_processing,smart_contract_exec,data_storage",tx_processing:1;smart_contract_exec:2;data_storage:3,active,635,455
13,3.1,x86,91,82,DDR5,44.9,3.7,NVMe,836,853,11089,154ms,0.961,true,33.1,34.6,918.4,nodeA:218;nodeB:201;nodeC:108,shard1:171;shard2:353,170ms,0.2,0.1,0.034,0.05,22s,3.7s,0.13,3237,0.45,0.55,0.76,44.3,0.9,UTC+8,AWS,ap-southeast-1,58,27,98.5,44,5,0.52,0.58,0.45,0.32,0.22,5,shard1:0.7;shard2:0.2;shard3:0.1,0.61,88.2,75.6,0.07,2.9,0.62,11.7,139ms,0.93,255,303ms,0.2,0.963,91.0,FullNode,"consensus,validation,storage","tx_processing,smart_contract_exec,data_storage",tx_processing:1;smart_contract_exec:2;data_storage:3,idle,329,1614
3,4.1,x86,24,23,DDR5,13.1,0.8,SSD,158,192,576,94ms,0.961,false,35.3,51.9,50.2,nodeA:220;nodeB:36,shard1:358;shard2:212,1979ms,0.2,0.12,0.02,0.03,30s,7.8s,0.2,279,0.46,0.54,0.52,7.9,0.82,UTC+0,Digital Ocean,europe-central,19,28,61.0,19,5,0.68,0.39,0.45,0.88,0.64,4,shard1:0.6;shard2:0.4,0.88,92.4,67.2,0.11,0.6,0.72,14.0,202ms,0.45,1256,229ms,0.12,0.986,71.2,LightNode,validation,"data_verification,tx_relay",data_verification:1;tx_relay:2,active,827,1542
9,2.4,ARM,18,122,DDR4,77.5,6.1,SSD,743,1414,2828,102ms,0.963,true,37.5,19.7,479.7,nodeA:229;nodeB:296;nodeC:155,shard1:194;shard2:202;shard3:171;shard4:99,321ms,0.23,0.03,0.025,0.05,10s,2.7s,0.25,3202,0.54,0.46,0.81,41.6,0.95,UTC-8,AWS,us-west-2,30,33,79.5,17,2,0.49,0.37,0.94,0.16,0.3,4,shard1:0.4;shard2:0.6,0.58,34.9,86.2,0.39,2.5,0.89,13.5,35ms,0.58,1388,218ms,0.19,0.971,62.0,FullNode,"consensus,validation,storage","tx_processing,smart_contract_exec,data_storage",tx_processing:1;smart_contract_exec:2;data_storage:3,active,1456,470
4,4.1,x86,28,27,DDR5,14.6,0.6,SSD,331,274,3014,170ms,0.998,false,53.1,23.1,246.2,nodeA:81;nodeB:249;nodeC:108,shard1:158;shard2:148,1064ms,0.17,0.11,0.009,0.06,10s,1.4s,0.21,1628,0.58,0.42,0.26,23.8,0.84,UTC+9,Alibaba Cloud,ap-northeast-1,17,14,38.0,9,2,0.73,0.79,0.52,0.71,0.34,1,shard1:0.1;shard2:0.9,0.9,83.2,52.2,0.24,0.4,0.58,13.3,263ms,0.49,858,781ms,0.02,0.978,79.6,LightNode,validation,"data_verification,tx_relay",data_verification:1;tx_relay:2,idle,2440,1437
16,2.8,x86,112,81,DDR5,27.8,9.8,NVMe,965,2335,23350,134ms,0.975,true,84.2,15.9,1550.6,nodeA:88;nodeB:173;nodeC:246,shard1:187;shard2:263;shard3:359,1303ms,0.18,0.07,0.024,0.02,23s,4.5s,0.39,920,0.77,0.23,0.86,5.9,0.85,UTC+0,Digital Ocean,europe-central,62,21,93.5,55,5,0.67,0.5,0.33,0.42,0.57,4,shard1:0.3;shard2:0.7,0.52,87.8,46.5,0.13,6.3,0.85,13.6,30ms,0.52,1675,360ms,0.1,0.991,92.6,SuperNode,"consensus,storage,validation,mining","tx_processing,contract_execution,data_storage,block_production",tx_processing:1;contract_execution:2;data_storage:3;block_production:1,high_load,2905,251
24,4.0,x86,48,143,DDR5,93.6,7.6,HDD,936,4601,92020,183ms,0.951,true,33.5,73.3,1755.5,nodeA:134;nodeB:149,shard1:206;shard2:379;shard3:190;shard4:266,610ms,0.06,0.03,0.021,0.03,16s,4.1s,0.25,1114,0.67,0.33,0.77,25.0,0.88,UTC-3,AWS,sa-east-1,80,27,120.5,62,3,0.84,0.32,0.85,0.17,0.22,1,shard1:0.8;shard2:0.1;shard3:0.1,0.58,67.2,87.7,0.35,4.5,0.71,4.8,229ms,0.63,1820,748ms,0.01,0.995,84.6,SuperNode,"consensus,storage,validation,mining","tx_processing,contract_execution,data_storage,block_production",tx_processing:1;contract_execution:2;data_storage:3;block_production:1,maintenance,2562,1690
2,3.3,ARM,14,19,DDR4,11.0,1.4,HDD,409,405,2025,23ms,0.974,false,43.5,34.4,131.3,nodeA:113;nodeB:191;nodeC:65;nodeD:133,shard1:164;shard2:207;shard3:265,667ms,0.12,0.11,0.045,0.04,9s,1.6s,0.17,565,0.72,0.28,0.58,30.4,0.93,UTC+1,Azure,europe-west,13,36,67.0,10,4,0.89,0.44,0.77,0.57,0.8,2,shard1:0.4;shard2:0.3;shard3:0.3,0.66,76.4,69.6,0.27,0.7,0.86,6.0,173ms,0.85,1771,723ms,0.26,0.959,63.7,LightNode,validation,"data_verification,tx_relay",data_verification:1;tx_relay:2,active,624,1567
3,3.3,x86,24,29,DDR5,14.2,0.9,HDD,175,254,1524,101ms,0.999,false,44.0,84.1,273.2,nodeA:43;nodeB:172,shard1:283;shard2:316;shard3:355,1037ms,0.09,0.13,0.013,0.02,15s,3.1s,0.15,575,0.4,0.6,0.26,38.3,0.83,UTC+1,Azure,europe-west,72,10,87.0,44,5,0.71,0.44,0.95,0.41,0.22,2,shard1:0.4;shard2:0.4;shard3:0.2,0.85,91.8,83.0,0.31,0.5,0.31,1.1,147ms,0.45,1846,402ms,0.1,0.955,79.1,LightNode,validation,"data_verification,tx_relay",data_verification:1;tx_relay:2,idle,1353,392
16,3.0,ARM,48,60,DDR4,39.8,1.9,SSD,142,1707,30726,140ms,0.958,true,45.7,60.5,326.2,nodeA:126;nodeB:266;nodeC:189;nodeD:140;nodeE:21,shard1:393;shard2:95,1895ms,0.21,0.12,0.033,0.06,6s,1.3s,0.3,261,0.42,0.58,0.73,22.8,0.82,UTC+9,Alibaba Cloud,ap-northeast-1,70,14,91.0,48,2,0.5,0.66,0.72,0.32,0.56,2,shard1:0.8;shard2:0.2,0.7,88.4,58.3,0.27,0.7,0.77,8.0,122ms,0.81,1752,585ms,0.29,0.968,75.6,FullNode,"consensus,validation,storage","tx_processing,smart_contract_exec,data_storage",tx_processing:1;smart_contract_exec:2;data_storage:3,active,756,130
11,4.3,ARM,77,123,DDR4,65.0,15.7,NVMe,670,2901,8703,183ms,0.955,true,32.2,17.8,935.9,nodeA:86;nodeB:267,shard1:107;shard2:260;shard3:275,1741ms,0.22,0.08,0.01,0.09,6s,0.3s,0.14,1496,0.53,0.47,0.96,47.8,0.85,UTC-5,Google Cloud,us-east-1,57,26,96.0,33,2,0.56,0.92,0.41,0.41,0.71,4,shard1:0.2;shard2:0.8,0.81,81.8,32.3,0.29,3.7,0.87,3.2,233ms,0.89,1038,632ms,0.21,0.959,74.4,SuperNode,"consensus,storage,validation,mining","tx_processing,contract_execution,data_storage,block_production",tx_processing:1;contract_execution:2;data_storage:3;block_production:1,idle,1568,1302
18,3.3,x86,126,88,DDR4,45.4,9.3,HDD,893,2216,31024,100ms,0.957,true,77.9,77.4,890.3,nodeA:252;nodeB:189;nodeC:262,shard1:386;shard2:236;shard3:281;shard4:108,123ms,0.21,0.04,0.043,0.09,10s,0.7s,0.25,2073,0.53,0.47,0.78,25.8,0.9,UTC+3,Yandex Cloud,ru-central1,61,20,91.0,35,5,0.59,0.59,0.27,0.5,0.39,4,shard1:0.7;shard2:0.3,0.86,31.2,51.2,0.06,4.9,0.8,12.1,175ms,0.88,1201,261ms,0.2,0.972,73.0,ValidatorNode,"validation,consensus","block_validation,consensus_participation",block_validation:1;consensus_participation:2,high_load,322,1722
4,3.8,ARM,8,13,DDR5,7.1,1.7,NVMe,539,209,2090,43ms,0.98,false,33.1,80.1,148.2,nodeA:90;nodeB:231;nodeC:282,shard1:330;shard2:210;shard3:333,1036ms,0.26,0.04,0.02,0.08,6s,1.7s,0.35,4923,0.45,0.55,0.64,23.4,0.91,UTC+1,Azure,europe-west,73,5,80.5,69,2,0.66,0.47,0.66,0.84,0.67,2,shard1:0.3;shard2:0.7,0.83,41.3,78.0,0.09,1.0,0.66,5.5,216ms,0.57,1297,759ms,0.23,0.963,96.6,LightNode,validation,"data_verification,tx_relay",data_verification:1;tx_relay:2,idle,1304,977
4,3.8,x86,32,19,DDR5,11.0,1.4,SSD,547,790,15010,119ms,0.964,false,79.3,71.6,180.7,nodeA:299;nodeB:120;nodeC:119;nodeD:170,shard1:140;shard2:399;shard3:88,151ms,0.15,0.03,0.008,0.03,30s,2.7s,0.19,2152,0.46,0.54,0.14,39.4,0.84,UTC+8,AWS,ap-southeast-1,55,33,104.5,30,3,0.78,0.58,0.39,0.73,0.68,3,shard1:0.9;shard2:0.1,0.83,33.1,49.8,0.2,0.9,0.71,14.5,47ms,0.31,564,257ms,0.19,0.988,93.1,LightNode,validation,"data_verification,tx_relay",data_verification:1;tx_relay:2,high_load,1023,1916
3,2.4,x86,24,16,DDR4,4.8,1.2,SSD,278,140,840,147ms,0.996,false,61.8,69.2,206.3,nodeA:32;nodeB:284;nodeC:211;nodeD:283,shard1:278;shard2:299;shard3:72;shard4:201,1826ms,0.22,0.08,0.031,0.04,30s,6.8s,0.26,1606,0.61,0.39,0.57,8.8,0.9,UTC+3,Yandex Cloud,ru-central1,21,27,61.5,13,3,0.73,0.38,0.43,0.86,0.57,4,shard1:0.4;shard2:0.6,0.98,83.5,88.8,0.05,0.7,0.57,13.7,144ms,0.92,1447,378ms,0.12,0.989,64.3,LightNode,validation,"data_verification,tx_relay",data_verification:1;tx_relay:2,active,1150,1156
3,3.7,x86,24,14,DDR4,10.3,1.1,SSD,226,310,5890,11ms,0.991,false,81.5,66.9,158.8,nodeA:89;nodeB:220;nodeC:299,shard1:374;shard2:123;shard3:202,1772ms,0.28,0.12,0.012,0.05,15s,0.9s,0.12,1558,0.72,0.28,0.43,29.2,0.84,UTC+9,Alibaba Cloud,ap-northeast-1,62,29,105.5,59,5,0.58,0.11,0.73,0.53,0.58,5,shard1:0.9;shard2:0.1;shard3:-0.0,0.53,78.5,28.0,0.35,0.5,0.6,5.1,174ms,0.69,626,498ms,0.12,0.99,61.2,LightNode,validation,"data_verification,tx_relay",data_verification:1;tx_relay:2,maintenance,740,1142
